Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
DoubleGreedy,Trivalency,500,0.1,2,50,500,0,471,50,29,29,0,7,7,,"36,42,11,75,14,18,59",0,8.35,0.0,7255.72,7255.72,4,8.292460918426514
DoubleGreedy,Trivalency,500,0.1,4,50,450,50,440,0,10,10,1,6,7,54,"36,11,43,19,57,27",1,8.12,872.0,7224.69,8096.69,7,7.664436340332031
DoubleGreedy,Trivalency,500,0.1,6,50,500,0,474,50,26,26,0,7,7,,"64,2,3,11,23,26,30",0,9.29,0.0,7795.85,7795.85,9,7.75953221321106
DoubleGreedy,Trivalency,500,0.1,8,50,500,0,495,50,5,5,0,7,7,,"1,68,11,48,26,29,30",0,9.29,0.0,8041.76,8041.76,11,7.743724584579468
DoubleGreedy,Trivalency,500,0.1,10,50,500,0,500,50,0,0,0,7,7,,"64,39,40,73,11,48,22",0,9.53,0.0,8173.72,8173.72,13,7.798029661178589
DoubleGreedy,Trivalency,1000,0.1,2,100,930,70,926,30,4,4,1,14,15,33,"32,66,36,37,73,75,11,15,17,50,20,54,26,27",1,15.56,756.0,13485.23,14241.23,4,8.245351552963257
DoubleGreedy,Trivalency,1000,0.1,4,100,938,62,929,38,9,9,1,14,15,64,"36,6,71,8,73,41,43,75,45,14,48,59,28,63",2,15.25,1647.0,13316.59,14963.59,6,8.30370283126831
DoubleGreedy,Trivalency,1000,0.1,6,100,938,62,936,38,2,2,1,13,14,64,"34,68,36,41,74,10,15,19,55,24,57,58,27",2,15.19,1720.0,13060.08,14780.08,8,7.345472574234009
DoubleGreedy,Trivalency,1000,0.1,8,100,909,91,903,9,6,6,1,13,14,76,"64,32,65,68,6,8,9,11,45,17,23,54,55",1,15.04,806.0,12730.2,13536.2,11,7.873494863510132
DoubleGreedy,Trivalency,1000,0.1,10,100,947,53,933,47,14,14,1,13,14,36,"0,26,8,72,43,44,45,48,17,24,57,56,28",2,15.44,1833.0,13326.34,15159.34,13,7.965299606323242
DoubleGreedy,Trivalency,1500,0.1,2,150,1352,148,1342,2,10,10,2,20,22,"12,15","0,2,8,20,28,30,33,36,37,43,48,50,51,54,55,57,61,67,68,72",2,21.81,1783.0,18637.78,20420.78,4,7.654223203659058
DoubleGreedy,Trivalency,1500,0.1,4,150,1353,147,1343,3,10,10,2,20,22,"66,68","3,8,11,15,18,19,23,26,30,31,34,35,36,37,54,60,67,71,73,74",3,21.59,2707.0,18224.35,20931.35,6,7.85475492477417
DoubleGreedy,Trivalency,1500,0.1,6,150,1363,137,1355,13,8,8,2,20,22,"72,45","0,3,7,8,11,15,18,19,25,28,29,36,37,41,48,50,54,62,67,73",2,22.67,1730.0,19707.72,21437.72,9,8.063559770584106
DoubleGreedy,Trivalency,1500,0.1,8,150,1371,129,1364,21,7,7,2,19,21,"34,50","2,5,6,8,11,13,15,20,25,26,30,55,60,62,63,65,69,73,75",3,21.03,2487.0,18024.57,20511.57,10,8.068334817886353
DoubleGreedy,Trivalency,1500,0.1,10,150,1350,150,1323,0,27,27,2,17,19,"58,14","0,32,33,67,3,6,7,42,10,44,12,46,18,21,56,27,63",8,17.84,6998.0,14932.47,21930.47,12,8.913991928100586
DoubleGreedy,Trivalency,2000,0.1,2,200,1851,149,1844,51,7,7,2,26,28,"9,30","0,4,5,7,11,18,21,25,26,27,28,31,36,41,42,43,44,45,50,52,54,55,56,57,67,73",2,29.07,1637.0,24736.07,26373.07,5,8.42189073562622
DoubleGreedy,Trivalency,2000,0.1,4,200,1818,182,1804,18,14,14,2,25,27,"16,21","0,12,14,15,19,23,25,27,30,32,33,34,36,43,47,48,51,53,54,59,64,65,67,72,76",3,27.7,2657.0,23229.94,25886.94,7,8.085305452346802
DoubleGreedy,Trivalency,2000,0.1,6,200,1806,194,1799,6,7,7,3,25,28,"40,43,28","4,6,8,11,12,15,19,21,24,29,31,34,36,46,48,55,57,63,66,67,68,71,72,73,75",3,27.72,2533.0,23709.52,26242.52,9,8.224355220794678
DoubleGreedy,Trivalency,2000,0.1,8,200,1823,177,1789,23,34,34,2,26,28,"60,21","0,2,6,12,15,25,26,28,29,30,34,43,46,48,49,50,52,54,57,64,67,68,72,73,75,76",2,28.89,1633.0,24408.5,26041.5,11,8.581842184066772
DoubleGreedy,Trivalency,2000,0.1,10,200,1808,192,1787,8,21,21,3,25,28,"16,36,15","3,5,9,11,14,17,20,30,31,32,37,39,40,42,45,50,57,59,62,63,64,67,68,69,72",4,27.05,3572.0,22790.75,26362.75,12,8.638991832733154
DoubleGreedy,Trivalency,2500,0.1,2,250,2284,216,2263,34,21,21,3,32,35,"72,73,3","0,1,8,11,12,14,15,22,24,25,28,30,31,36,37,39,40,45,48,50,52,54,55,57,58,59,65,67,69,70,75,76",3,34.37,2651.0,29068.14,31719.14,5,8.541308164596558
DoubleGreedy,Trivalency,2500,0.1,4,250,2281,219,2257,31,24,24,3,31,34,"32,74,51","0,2,6,7,8,10,11,12,14,15,16,17,18,20,25,27,29,31,36,41,42,45,46,47,48,54,59,60,66,68,75",4,33.54,3459.0,28565.53,32024.53,6,8.164157629013062
DoubleGreedy,Trivalency,2500,0.1,6,250,2267,233,2266,17,1,1,3,31,34,"27,76,30","0,4,7,14,16,17,19,24,25,26,28,34,36,38,41,42,44,45,49,51,53,54,56,57,59,64,65,72,73,74,75",4,33.06,3537.0,27840.29,31377.29,9,8.057852268218994
DoubleGreedy,Trivalency,2500,0.1,8,250,2257,243,2175,7,82,82,3,29,32,"57,18,63","3,5,6,8,13,16,21,23,24,26,29,32,33,34,35,37,40,42,43,45,48,50,51,56,58,59,60,64,74",7,30.8,6184.0,25938.15,32122.15,10,7.938223361968994
DoubleGreedy,Trivalency,2500,0.1,10,250,2252,248,2225,2,27,27,3,31,34,"16,41,69","2,3,4,6,10,13,14,15,17,20,21,23,25,26,27,30,35,36,39,40,45,46,50,51,55,65,68,70,72,74,75",6,32.47,5434.0,27348.81,32782.81,12,7.835281133651733
DoubleGreedy,Trivalency,500,0.3,2,150,366,134,331,16,35,35,2,5,7,"64,18","36,70,46,48,24",4,6.32,3448.0,5388.42,8836.42,4,7.280611038208008
DoubleGreedy,Trivalency,500,0.3,4,150,350,150,342,0,8,8,2,5,7,"51,67","45,48,23,60,30",3,6.66,2484.0,5543.24,8027.24,6,7.039226770401001
DoubleGreedy,Trivalency,500,0.3,6,150,378,122,369,28,9,9,2,5,7,"28,31","68,48,17,55,58",2,7.03,1605.0,6013.19,7618.19,8,7.5768961906433105
DoubleGreedy,Trivalency,500,0.3,8,150,379,121,376,29,3,3,2,6,8,"28,45","32,36,6,11,54,63",2,7.27,1744.0,6318.57,8062.57,10,7.279951095581055
DoubleGreedy,Trivalency,500,0.3,10,150,378,122,340,28,38,38,2,5,7,"2,14","34,7,73,48,26",2,7.1,1561.0,6220.99,7781.99,13,7.289811849594116
DoubleGreedy,Trivalency,1000,0.3,2,300,743,257,733,43,10,10,3,10,13,"49,58,4","3,11,43,19,20,21,53,59,28,31",7,10.97,6044.0,9549.75,15593.75,4,7.636262655258179
DoubleGreedy,Trivalency,1000,0.3,4,300,737,263,727,37,10,10,3,11,14,"65,42,21","68,6,70,41,73,16,18,54,23,24,29",3,12.02,2486.0,10453.62,12939.62,6,7.726694583892822
DoubleGreedy,Trivalency,1000,0.3,6,300,705,295,668,5,37,37,4,9,13,"48,25,43,29","32,37,6,75,47,20,23,58,61",9,10.08,8127.0,8451.21,16578.21,8,7.741994380950928
DoubleGreedy,Trivalency,1000,0.3,8,300,727,273,708,27,19,19,4,10,14,"16,75,20,54","33,68,37,8,48,21,22,26,59,31",5,11.67,4436.0,10098.6,14534.6,10,8.574674844741821
