Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
DoubleGreedy,Uniform,500,0.1,2,50,450,50,400,0,50,50,1,6,7,54,"0,8,73,11,26,62",1,13.57,872.0,12228.72,13100.72,6,11.671628475189209
DoubleGreedy,Uniform,500,0.1,4,50,500,0,490,50,10,10,0,7,7,,"11,45,48,54,24,25,27",0,16.98,0.0,14997.93,14997.93,8,8.265002012252808
DoubleGreedy,Uniform,500,0.1,6,50,500,0,473,50,27,27,0,7,7,,"64,74,11,20,23,24,62",0,15.87,0.0,13952.5,13952.5,10,7.873560428619385
DoubleGreedy,Uniform,500,0.1,8,50,500,0,462,50,38,38,0,7,7,,"36,42,11,20,55,59,31",0,14.27,0.0,12523.34,12523.34,12,8.37265396118164
DoubleGreedy,Uniform,500,0.1,10,50,450,50,439,0,11,11,1,6,7,54,"11,15,48,25,60,63",1,14.49,872.0,12644.04,13516.04,14,8.262853622436523
DoubleGreedy,Uniform,1000,0.1,2,100,907,93,869,7,38,38,1,12,13,65,"6,7,41,11,14,17,50,18,20,19,58,27",2,20.04,1681.0,17509.86,19190.86,6,8.834312915802002
DoubleGreedy,Uniform,1000,0.1,4,100,909,91,895,9,14,14,1,12,13,51,"3,36,39,73,9,75,47,18,20,58,62,31",9,14.6,8030.0,12675.26,20705.260000000002,7,8.511354207992554
DoubleGreedy,Uniform,1000,0.1,6,100,913,87,892,13,21,21,1,12,13,16,"64,65,40,41,74,11,44,46,18,23,24,61",5,18.9,4554.0,15855.23,20409.23,9,8.332372426986694
DoubleGreedy,Uniform,1000,0.1,8,100,931,69,927,31,4,4,1,13,14,4,"64,1,34,70,43,11,47,16,19,23,24,26,28",1,22.65,823.0,19504.52,20327.52,12,8.64819622039795
DoubleGreedy,Uniform,1000,0.1,10,100,928,72,914,28,14,14,1,12,13,23,"0,35,5,37,8,9,42,11,14,21,30,63",14,15.95,12680.0,13748.94,26428.940000000002,13,9.117079019546509
