Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
DoubleGreedy,Weighted,500,0.1,2,50,500,0,499,50,1,1,0,7,7,,"0,2,72,11,47,52,54",0,26.12,0.0,23248.97,23248.97,6,8.203914642333984
DoubleGreedy,Weighted,500,0.1,4,50,500,0,499,50,1,1,0,7,7,,"0,11,20,24,57,26,25",0,33.11,0.0,29687.38,29687.38,8,8.310039758682251
DoubleGreedy,Weighted,500,0.1,6,50,450,50,413,0,37,37,1,6,7,54,"0,36,11,52,59,60",1,25.33,872.0,22723.07,23595.07,10,8.08992338180542
DoubleGreedy,Weighted,500,0.1,8,50,450,50,447,0,3,3,1,6,7,54,"0,35,11,43,47,26",1,27.24,872.0,24446.58,25318.58,12,7.3065338134765625
DoubleGreedy,Weighted,500,0.1,10,50,450,50,420,0,30,30,1,6,7,54,"65,36,74,11,55,23",1,22.08,872.0,19540.45,20412.45,14,8.240240812301636
DoubleGreedy,Weighted,1000,0.1,2,100,914,86,900,14,14,14,1,12,13,3,"32,0,70,11,75,76,46,45,23,56,25,27",1,35.44,903.0,31339.58,32242.58,6,7.985348224639893
DoubleGreedy,Weighted,1000,0.1,4,100,933,67,924,33,9,9,1,13,14,19,"0,70,6,41,11,13,48,51,52,53,54,28,30",1,34.12,837.0,30359.67,31196.67,8,8.326380252838135
DoubleGreedy,Weighted,1000,0.1,6,100,918,82,913,18,5,5,1,13,14,29,"64,0,34,67,68,6,74,11,47,51,20,21,24",1,36.01,886.0,31966.66,32852.66,10,7.806755542755127
DoubleGreedy,Weighted,1000,0.1,8,100,941,59,940,41,1,1,1,13,14,67,"0,68,38,41,74,11,48,16,52,54,23,60,63",1,37.83,771.0,33501.87,34272.87,12,8.508944272994995
DoubleGreedy,Weighted,1000,0.1,10,100,935,65,892,35,43,43,1,12,13,20,"0,1,34,35,2,72,11,44,48,17,25,30",1,36.25,904.0,31877.96,32781.96,14,8.517802000045776
DoubleGreedy,Weighted,1500,0.1,2,150,1355,145,1339,5,16,16,2,19,21,"49,54","0,4,6,11,15,19,23,24,25,29,31,34,48,52,56,58,60,67,70",2,43.19,1590.0,37707.52,39297.52,6,7.993548631668091
DoubleGreedy,Weighted,1500,0.1,4,150,1358,142,1313,8,45,45,2,18,20,"1,54","0,37,38,39,40,8,11,14,48,17,19,20,53,24,25,27,28,62",2,42.74,1619.0,37782.57,39401.57,8,7.931798934936523
DoubleGreedy,Weighted,1500,0.1,6,150,1351,149,1313,1,38,38,2,18,20,"36,47","0,58,59,11,15,48,16,50,19,30,55,24,57,56,27,28,29,62",2,45.89,1663.0,40729.87,42392.87,10,8.492513656616211
DoubleGreedy,Weighted,1500,0.1,8,150,1377,123,1358,27,19,19,2,19,21,"26,37","0,2,11,15,17,19,20,24,27,28,33,42,46,47,49,68,70,73,76",11,39.35,10047.0,34398.97,44445.97,11,7.620252370834351
DoubleGreedy,Weighted,1500,0.1,10,150,1360,140,1342,10,18,18,2,18,20,"70,7","0,2,36,68,40,73,11,44,45,16,48,51,61,56,25,60,29,57",2,42.64,1809.0,37458.28,39267.28,13,8.420241355895996
DoubleGreedy,Weighted,2000,0.1,2,200,1818,182,1805,18,13,13,2,26,28,"10,66","0,4,6,11,20,23,24,25,27,28,32,33,34,36,37,41,43,48,52,54,57,59,60,62,64,72",2,50.49,1600.0,44023.51,45623.51,5,8.498255968093872
DoubleGreedy,Weighted,2000,0.1,4,200,1836,164,1809,36,27,27,2,24,26,"8,76","0,4,5,11,17,19,20,21,22,24,25,34,35,43,46,49,51,55,57,59,60,67,68,70",2,47.88,1733.0,41555.18,43288.18,7,8.438568592071533
