Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
Greedy,Trivalency,500,0.1,2,50,450,50,417,0,33,33,33,1,6,7,54,"0,3,14,18,25,28",1,7.0,922.0,1705.77,2627.77,4,9.73
Greedy,Trivalency,500,0.1,4,50,450,50,427,0,23,23,23,1,7,8,54,"2,36,4,6,11,50,30",1,8.14,922.0,2277.52,3199.52,6,9.59
Greedy,Trivalency,500,0.1,6,50,450,50,439,0,11,11,11,1,7,8,54,"0,6,11,20,55,24,30",1,8.94,922.0,1736.3,2658.3,8,9.74
Greedy,Trivalency,500,0.1,8,50,450,50,424,0,26,26,26,1,7,8,54,"0,36,70,6,73,17,24",1,7.72,922.0,1654.92,2576.92,10,10.03
Greedy,Trivalency,500,0.1,10,50,450,50,445,0,5,5,5,1,7,8,54,"2,6,8,15,48,19,26",1,8.79,922.0,1858.0,2780.0,12,9.85
Greedy,Trivalency,1000,0.1,2,100,900,75,895,25,5,30,30,1,14,15,48,"0,33,2,36,70,7,74,45,14,50,19,20,23,24",6,15.39,5373.0,2855.48,8228.48,4,10.03
Greedy,Trivalency,1000,0.1,4,100,900,75,920,25,-20,5,5,1,15,16,48,"2,34,36,6,11,44,14,15,50,19,52,54,26,28,30",5,16.63,4634.0,3671.83,8305.83,6,10.09
Greedy,Trivalency,1000,0.1,6,100,900,59,933,41,-33,8,8,1,15,16,70,"36,37,6,7,73,41,43,11,14,15,48,19,54,26,30",1,17.75,956.0,4191.33,5147.33,9,10.09
Greedy,Trivalency,1000,0.1,8,100,900,65,935,35,-35,0,0,1,15,16,55,"0,67,36,4,6,11,45,15,18,50,54,23,25,59,30",5,17.12,4612.0,4246.27,8858.27,11,10.36
Greedy,Trivalency,1000,0.1,10,100,900,94,896,6,4,10,10,1,14,15,57,"0,32,68,69,4,70,73,11,45,14,18,54,30,63",3,15.25,2783.0,2943.44,5726.4400000000005,12,10.21
