Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
Greedy,Uniform,500,0.1,2,50,450,50,411,0,39,39,39,1,6,7,54,"0,3,4,45,14,48",1,11.03,922.0,3514.72,4436.719999999999,5,13.45
Greedy,Uniform,500,0.1,4,50,450,50,446,0,4,4,4,1,7,8,54,"0,6,70,11,46,26,30",1,14.71,922.0,3496.98,4418.98,8,9.82
Greedy,Uniform,500,0.1,6,50,450,50,447,0,3,3,3,1,7,8,54,"0,2,3,6,15,19,26",1,11.0,922.0,4262.95,5184.95,9,9.95
Greedy,Uniform,500,0.1,8,50,450,50,402,0,48,48,48,1,6,7,54,"0,6,9,11,26,30",1,12.6,922.0,3689.84,4611.84,12,9.92
Greedy,Uniform,500,0.1,10,50,450,50,437,0,13,13,13,1,7,8,54,"0,4,68,6,11,55,30",1,14.34,922.0,4209.63,5131.63,14,9.85
Greedy,Uniform,1000,0.1,2,100,900,64,922,36,-22,14,14,1,14,15,0,"1,70,73,74,13,14,50,19,55,54,23,25,26,30",9,19.29,8205.0,2807.19,11012.19,5,10.58
Greedy,Uniform,1000,0.1,4,100,900,63,936,37,-36,1,1,1,13,14,24,"0,64,2,32,68,36,8,9,10,13,18,25,26",12,18.26,10919.0,6096.02,17015.02,7,10.15
Greedy,Uniform,1000,0.1,6,100,900,72,925,28,-25,3,3,1,14,15,23,"64,0,2,34,6,74,43,45,47,50,52,55,28,63",14,18.39,12811.0,3001.83,15812.83,9,10.12
Greedy,Uniform,1000,0.1,8,100,900,62,935,38,-35,3,3,1,14,15,64,"0,65,67,36,40,11,45,14,15,48,16,20,54,23",3,23.01,2625.0,7039.79,9664.79,11,10.65
Greedy,Uniform,1000,0.1,10,100,900,76,887,24,13,37,37,1,13,14,11,"64,0,37,7,73,12,45,48,19,22,55,28,30",16,16.59,14549.0,2961.76,17510.760000000002,13,10.23
Greedy,Uniform,1500,0.1,2,150,1350,137,1360,13,-10,3,3,2,21,23,"0,44","6,8,14,15,16,23,24,26,30,34,39,40,42,43,45,48,50,52,64,68,73",9,27.32,8195.0,7098.03,15293.029999999999,5,10.93
Greedy,Uniform,1500,0.1,4,150,1350,149,1306,1,44,45,45,2,19,21,"64,22","0,2,6,11,14,15,16,19,23,24,26,28,29,35,41,43,58,73,75",5,27.5,4502.0,11060.87,15562.87,7,10.71
Greedy,Uniform,1500,0.1,6,150,1350,117,1381,33,-31,2,2,2,21,23,"15,55","0,2,4,6,8,11,16,20,23,24,30,31,35,36,37,41,43,54,62,68,73",11,27.31,9927.0,10588.16,20515.16,9,10.72
Greedy,Uniform,1500,0.1,8,150,1350,143,1348,7,2,9,9,2,20,22,"19,11","0,2,7,13,15,17,18,24,25,26,30,34,36,37,39,45,58,67,68,73",19,24.27,17364.0,7175.48,24539.48,11,10.31
Greedy,Uniform,1500,0.1,10,150,1350,120,1366,30,-16,14,14,2,20,22,"24,14","2,6,10,11,13,17,18,23,26,36,40,50,55,59,62,64,68,72,73,74",11,27.17,9804.0,8258.99,18062.989999999998,13,10.4
Greedy,Uniform,2000,0.1,2,200,1800,151,1847,49,-47,2,2,2,27,29,"11,39","0,2,6,7,9,10,13,15,17,18,24,26,28,30,31,32,33,36,40,44,50,52,60,64,67,72,73",14,30.95,12679.0,12363.23,25042.23,5,10.79
Greedy,Uniform,2000,0.1,4,200,1800,157,1824,43,-24,19,19,2,26,28,"3,52","0,2,6,8,19,20,21,22,23,25,31,32,34,40,43,45,46,50,55,56,57,62,63,64,68,73",15,31.23,13856.0,9048.5,22904.5,7,10.42
Greedy,Uniform,2000,0.1,6,200,1800,198,1796,2,4,6,6,3,25,28,"11,54,23","0,6,7,9,12,14,19,21,24,25,26,30,32,36,43,44,45,46,47,48,51,53,67,73,75",21,28.09,19231.0,9056.19,28287.190000000002,9,10.33
Greedy,Uniform,2000,0.1,8,200,1800,153,1790,47,10,57,57,2,28,30,"25,11","0,2,6,7,8,14,15,18,19,20,23,24,28,30,32,36,37,40,44,45,50,55,63,64,67,70,73,75",18,31.67,16211.0,12888.26,29099.260000000002,11,10.28
Greedy,Uniform,2000,0.1,10,200,1800,151,1849,49,-49,0,0,2,28,30,"11,39","0,4,5,6,8,17,19,20,23,24,25,26,28,30,34,36,37,42,45,50,52,55,58,67,68,70,73,74",14,33.54,12811.0,13617.9,26428.9,13,10.85
Greedy,Uniform,2500,0.1,2,250,2250,202,2261,48,-11,37,37,3,34,37,"2,11,31","0,4,6,7,14,15,17,18,19,20,21,24,26,28,30,32,33,35,40,41,43,44,45,49,50,52,54,55,59,64,67,68,73,74",17,37.88,15149.0,15574.01,30723.010000000002,5,11.04
Greedy,Uniform,2500,0.1,4,250,2250,233,2225,17,25,42,42,3,32,35,"11,29,39","0,2,5,6,8,10,16,17,18,20,23,24,26,30,31,32,33,36,40,41,44,45,54,57,58,59,62,63,67,70,73,75",17,35.98,15563.0,14999.87,30562.870000000003,7,10.87
Greedy,Uniform,2500,0.1,6,250,2250,218,2247,32,3,35,35,3,33,36,"73,41,3","0,2,4,5,6,7,14,15,16,17,20,26,27,28,30,36,37,40,43,44,45,46,48,50,52,54,55,56,59,64,65,70,74",16,37.85,14542.0,13838.88,28380.879999999997,9,11.01
Greedy,Uniform,2500,0.1,8,250,2250,231,2219,19,31,50,50,3,31,34,"0,75,12","1,2,5,6,9,10,15,19,20,22,23,24,27,28,29,30,33,34,36,40,43,44,45,51,57,63,67,68,70,72,74",19,33.47,17663.0,13436.72,31099.72,11,10.93
Greedy,Uniform,2500,0.1,10,250,2250,201,2269,49,-19,30,30,3,33,36,"73,11,23","0,1,3,6,14,15,16,17,18,20,21,24,26,27,28,30,31,32,36,37,45,47,48,50,54,55,59,60,64,67,74,75,76",20,37.74,18199.0,16841.98,35040.979999999996,13,10.64
