Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Total_Timestep,Execution_Time
Greedy,Weighted,500,0.1,2,50,450,50,421,0,29,29,29,1,6,7,54,"0,3,11,23,24,26",1,29.1,922.0,16677.84,17599.84,6,10.13
Greedy,Weighted,500,0.1,4,50,450,50,410,0,40,40,40,1,6,7,54,"0,67,11,17,19,20",1,26.95,922.0,16394.7,17316.7,8,9.84
Greedy,Weighted,500,0.1,6,50,450,50,402,0,48,48,48,1,6,7,54,"0,11,23,25,26,30",1,31.06,922.0,17382.3,18304.3,10,10.28
Greedy,Weighted,500,0.1,8,50,450,50,409,0,41,41,41,1,6,7,54,"0,73,11,19,26,27",1,29.81,922.0,16220.94,17142.940000000002,12,9.97
Greedy,Weighted,500,0.1,10,50,450,50,436,0,14,14,14,1,6,7,54,"0,11,16,19,55,25",1,29.98,922.0,17099.76,18021.76,14,9.9
Greedy,Weighted,1000,0.1,2,100,900,76,922,24,-22,2,2,1,14,15,11,"0,33,64,68,36,70,50,19,20,51,30,23,25,62",22,28.79,20144.0,11830.54,31974.54,5,10.42
Greedy,Weighted,1000,0.1,4,100,900,76,922,24,-22,2,2,1,13,14,11,"0,1,34,2,4,76,17,50,23,24,25,26,31",20,25.99,18300.0,12410.93,30710.93,7,10.58
Greedy,Weighted,1000,0.1,6,100,900,64,895,36,5,41,41,1,13,14,0,"68,36,73,74,76,47,16,18,30,55,23,28,62",23,19.8,21019.0,1371.47,22390.47,9,10.21
Greedy,Weighted,1000,0.1,8,100,900,76,924,24,-24,0,0,1,14,15,11,"0,67,6,70,48,50,19,20,52,54,30,57,29,62",26,25.2,23459.0,9792.64,33251.64,11,9.96
Greedy,Weighted,1000,0.1,10,100,900,64,917,36,-17,19,19,1,14,15,0,"36,73,47,50,51,19,18,54,55,25,26,28,30,31",35,21.47,31930.0,1419.32,33349.32,13,10.47
Greedy,Weighted,1500,0.1,2,150,1350,143,1326,7,24,31,31,2,19,21,"19,11","0,17,23,24,26,27,28,31,34,43,44,47,50,59,62,66,67,68,75",19,33.11,17230.0,14805.13,32035.129999999997,5,10.71
Greedy,Weighted,1500,0.1,4,150,1350,140,1348,10,2,12,12,2,18,20,"0,11","64,34,67,36,69,70,38,43,46,47,49,18,19,17,57,58,60,30",36,23.09,32874.0,2336.06,35210.06,7,10.04
Greedy,Weighted,1500,0.1,6,150,1350,135,1312,15,38,53,53,2,19,21,"11,70","0,2,6,8,16,17,19,23,25,30,31,34,48,50,51,62,63,64,73",23,33.43,21040.0,15391.61,36431.61,9,10.55
Greedy,Weighted,1500,0.1,8,150,1350,149,1350,1,0,1,1,2,20,22,"8,11","0,16,17,19,20,23,24,25,26,28,29,30,36,50,55,60,64,67,69,70",21,35.77,19197.0,18223.98,37420.979999999996,11,10.31
