Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Trivalency,500,0.1,2,50,450,50,406,0,44,44,1,6,7,54,"23,48,55,67,69,73",1,8.11,872.0,6891.94,7763.94,3,5,8.018162488937378,0.6
StochasticGreedy,Trivalency,500,0.1,4,50,450,50,446,0,4,4,1,7,8,54,"0,15,45,48,52,73,75",1,8.25,872.0,7258.14,8130.14,2,6,8.31808876991272,0.6
StochasticGreedy,Trivalency,500,0.1,6,50,450,50,449,0,1,1,1,6,7,54,"0,6,17,27,38,48",1,7.76,872.0,6676.27,7548.27,2,8,8.115249156951904,0.6
StochasticGreedy,Trivalency,500,0.1,8,50,450,50,401,0,49,49,1,6,7,54,"6,23,27,68,70,75",1,6.87,872.0,6079.21,6951.21,2,10,8.11106276512146,0.6
StochasticGreedy,Trivalency,500,0.1,10,50,450,50,432,0,18,18,1,7,8,54,"14,18,24,30,43,55,74",1,8.17,872.0,7051.53,7923.53,2,12,8.05256962776184,0.6
StochasticGreedy,Trivalency,1000,0.1,2,100,906,94,905,6,1,1,1,13,14,57,"0,4,8,16,24,36,41,50,55,56,59,68,72",2,14.38,1768.0,12441.6,14209.6,2,4,7.864783525466919,0.6
StochasticGreedy,Trivalency,1000,0.1,4,100,925,75,914,25,11,11,1,13,14,48,"2,11,15,19,33,36,39,58,62,63,69,72,73",2,15.07,1785.0,12988.63,14773.63,2,6,7.931325197219849,0.6
StochasticGreedy,Trivalency,1000,0.1,6,100,906,94,894,6,12,12,1,13,14,57,"3,7,13,14,18,24,31,37,40,45,52,68,73",2,13.43,1753.0,11374.84,13127.84,2,8,7.564813137054443,0.6
StochasticGreedy,Trivalency,1000,0.1,8,100,906,94,905,6,1,1,1,14,15,57,"4,11,14,22,24,31,33,36,45,50,54,68,73,76",1,15.02,876.0,12679.73,13555.73,2,10,7.983654737472534,0.6
StochasticGreedy,Trivalency,1000,0.1,10,100,911,89,901,11,10,10,1,12,13,27,"5,7,8,15,18,25,26,45,47,53,59,62",2,13.19,1714.0,11402.1,13116.1,2,12,7.851853847503662,0.6
StochasticGreedy,Trivalency,1500,0.1,2,150,1409,91,1395,59,14,14,1,19,20,51,"8,9,28,32,36,38,41,42,43,46,47,59,65,67,68,70,72,74,76",2,19.48,1713.0,16352.69,18065.690000000002,2,4,8.338386058807373,0.6
StochasticGreedy,Trivalency,1500,0.1,4,150,1377,123,1238,27,139,139,2,17,19,"24,26","8,11,14,17,18,29,30,31,33,37,42,49,50,56,66,69,70",3,17.97,2658.0,15009.17,17667.17,2,6,8.112558126449585,0.6
StochasticGreedy,Trivalency,1500,0.1,6,150,1409,91,1344,59,65,65,1,18,19,51,"1,4,12,13,15,20,24,27,28,29,34,35,39,44,45,46,54,72",1,19.12,887.0,16161.11,17048.11,2,8,8.405124187469482,0.6
StochasticGreedy,Trivalency,1500,0.1,8,150,1372,128,1127,22,245,245,2,16,18,"6,48","11,15,16,21,24,26,29,30,33,34,37,44,45,47,55,74",5,17.74,4595.0,15056.83,19651.83,2,10,7.9545605182647705,0.6
StochasticGreedy,Trivalency,1500,0.1,10,150,1365,135,1350,15,15,15,2,18,20,"11,67","4,9,17,21,27,28,31,37,39,46,52,54,56,65,71,73,74,75",4,18.24,3537.0,15208.07,18745.07,2,12,7.518530368804932,0.6
StochasticGreedy,Trivalency,2000,0.1,2,200,1830,170,1620,30,210,210,2,22,24,"11,57","0,6,9,13,15,19,21,23,29,30,31,38,40,45,53,54,63,64,65,67,69,71",2,23.17,1752.0,19247.66,20999.66,2,4,7.4557106494903564,0.6
StochasticGreedy,Trivalency,2000,0.1,4,200,1843,157,1558,43,285,285,2,20,22,"24,57","6,13,14,22,27,30,32,41,42,45,46,47,48,49,58,60,61,64,72,76",2,21.82,1697.0,17951.65,19648.65,2,6,7.554763078689575,0.6
StochasticGreedy,Trivalency,2000,0.1,6,200,1867,133,1463,67,404,404,2,20,22,"11,68","4,10,14,22,28,30,31,33,44,50,51,53,55,62,66,67,69,71,72,74",2,20.8,1806.0,17093.17,18899.17,2,8,8.210749864578247,0.6
StochasticGreedy,Trivalency,2000,0.1,8,200,1853,147,1722,53,131,131,2,22,24,"15,49","2,5,7,13,17,20,21,31,36,37,39,44,45,51,52,58,60,61,62,63,65,66",2,22.4,1632.0,18640.79,20272.79,2,10,8.490614652633667,0.6
StochasticGreedy,Trivalency,2000,0.1,10,200,1909,91,1368,109,541,541,1,18,19,51,"4,7,9,12,13,22,23,24,33,37,44,52,53,54,69,71,73,74",1,18.78,887.0,15621.06,16508.059999999998,2,12,8.45043396949768,0.6
StochasticGreedy,Trivalency,2500,0.1,2,250,2328,172,2290,78,38,38,2,31,33,"11,12","2,4,5,7,8,16,17,21,25,27,29,30,31,33,34,36,37,38,39,40,43,44,50,51,54,60,64,65,72,73,76",4,32.32,3688.0,26808.51,30496.51,2,4,8.26624321937561,0.6
StochasticGreedy,Trivalency,2500,0.1,4,250,2302,198,1317,52,985,985,3,18,21,"6,33,48","0,2,4,11,12,13,14,16,32,37,41,45,47,49,52,54,55,67",6,19.68,5425.0,16340.87,21765.870000000003,2,6,7.631365537643433,0.6
StochasticGreedy,Trivalency,2500,0.1,6,250,2409,91,1980,159,429,429,1,26,27,51,"3,10,14,16,18,21,23,29,30,32,33,35,37,40,42,43,49,50,52,54,56,58,65,66,69,74",1,27.02,887.0,22366.85,23253.85,2,8,8.545040845870972,0.6
StochasticGreedy,Trivalency,2500,0.1,8,250,2356,144,1679,106,677,677,2,22,24,"30,51","4,5,14,15,16,19,20,22,29,32,37,39,41,43,44,47,56,57,61,65,70,72",3,22.93,2651.0,19438.78,22089.78,2,10,8.187131404876709,0.6
StochasticGreedy,Trivalency,2500,0.1,10,250,2336,164,1777,86,559,559,2,24,26,"27,48","1,2,6,7,13,14,15,16,20,22,25,28,31,34,39,42,47,51,60,65,68,70,71,73",5,24.95,4480.0,20866.25,25346.25,2,12,8.120862483978271,0.6
StochasticGreedy,Trivalency,500,0.3,2,150,374,126,352,24,22,22,2,6,8,"20,31","28,30,50,54,70,75",3,6.0,2587.0,5118.0,7705.0,1,3,7.24756646156311,0.6
StochasticGreedy,Trivalency,500,0.3,4,150,363,137,351,13,12,12,2,5,7,"11,43","15,48,57,72,73",5,6.39,4343.0,5626.78,9969.779999999999,2,6,8.174944639205933,0.6
StochasticGreedy,Trivalency,500,0.3,6,150,354,146,339,4,15,15,2,5,7,"34,48","0,13,14,26,45",6,5.61,5460.0,4880.42,10340.42,2,8,7.997489929199219,0.6
StochasticGreedy,Trivalency,500,0.3,8,150,367,133,358,17,9,9,2,5,7,"11,68","13,26,32,39,50",6,5.48,5255.0,4573.65,9828.65,2,10,8.179698705673218,0.6
StochasticGreedy,Trivalency,500,0.3,10,150,373,127,352,23,21,21,2,5,7,"19,26","14,16,23,31,48",4,6.61,3664.0,5485.16,9149.16,2,12,8.285404682159424,0.6
StochasticGreedy,Trivalency,1000,0.3,2,300,865,135,865,165,0,0,2,12,14,"11,67","0,2,5,7,14,17,18,20,36,39,55,57",4,13.59,3435.0,11655.62,15090.62,2,4,8.146965742111206,0.6
StochasticGreedy,Trivalency,1000,0.3,4,300,825,175,822,125,3,3,2,12,14,"3,27","8,14,21,22,24,25,28,40,43,50,68,74",3,12.78,2631.0,10921.54,13552.54,2,6,8.22370433807373,0.6
StochasticGreedy,Trivalency,1000,0.3,6,300,876,124,868,176,8,8,2,11,13,"0,45","7,16,24,27,29,30,33,52,56,66,71",3,11.59,2791.0,9731.63,12522.63,2,8,7.440174102783203,0.6
StochasticGreedy,Trivalency,1000,0.3,8,300,834,166,833,134,1,1,2,12,14,"11,66","0,3,6,14,15,16,30,32,35,51,62,70",3,12.55,2672.0,10975.34,13647.34,2,10,7.259230613708496,0.6
StochasticGreedy,Trivalency,1000,0.3,10,300,883,117,852,183,31,31,2,11,13,"0,30","13,28,36,37,44,46,47,48,56,60,72",3,12.4,2742.0,10276.83,13018.83,2,12,7.508536338806152,0.6
StochasticGreedy,Trivalency,1500,0.3,2,450,1079,421,1079,29,0,0,6,14,20,"14,15,22,40,45,56","2,13,16,19,20,21,29,51,52,54,57,58,64,70",6,14.97,5067.0,12712.66,17779.66,2,4,7.977596044540405,0.6
StochasticGreedy,Trivalency,1500,0.3,4,450,1338,162,1317,288,21,21,2,18,20,"23,35","14,22,31,37,38,42,50,53,55,59,60,62,63,66,68,72,73,76",2,18.74,1564.0,15606.04,17170.04,2,6,7.496638298034668,0.6
StochasticGreedy,Trivalency,1500,0.3,6,450,1336,164,1105,286,231,231,2,15,17,"48,71","1,4,8,25,26,31,35,42,43,46,49,54,57,62,73",4,16.02,3273.0,13361.83,16634.83,2,8,8.27787184715271,0.6
StochasticGreedy,Trivalency,1500,0.3,8,450,1357,143,1232,307,125,125,2,16,18,"11,59","0,3,12,13,22,27,32,35,37,43,57,62,66,70,73,74",4,16.93,3573.0,14847.44,18420.440000000002,2,10,8.51913833618164,0.6
StochasticGreedy,Trivalency,1500,0.3,10,450,1059,441,1040,9,19,19,7,14,21,"4,30,36,44,45,62,67","0,6,10,13,18,26,27,29,32,47,59,64,72,74",7,15.27,5888.0,12972.88,18860.879999999997,2,12,8.625741243362427,0.6
StochasticGreedy,Trivalency,2000,0.3,2,600,1582,418,1440,182,142,142,6,20,26,"11,31,50,60,69,70","1,2,4,6,13,14,19,21,28,30,37,41,42,43,51,55,56,59,67,72",6,20.96,4918.0,17722.76,22640.76,2,4,8.086150169372559,0.6
StochasticGreedy,Trivalency,2000,0.3,4,600,1768,232,1767,368,1,1,3,24,27,"3,7,20","6,14,15,16,22,23,24,28,30,32,38,39,41,44,46,49,53,54,57,58,60,66,67,74",3,25.55,2719.0,21209.05,23928.05,2,6,8.491793155670166,0.6
StochasticGreedy,Trivalency,2000,0.3,6,600,1844,156,1314,444,530,530,2,17,19,"17,25","2,5,9,11,12,16,19,20,27,31,32,35,47,48,63,70,73",2,19.86,1511.0,16766.82,18277.82,3,9,8.098583936691284,0.6
StochasticGreedy,Trivalency,2000,0.3,8,600,1866,134,1580,466,286,286,2,21,23,"25,68","4,5,8,9,14,17,20,28,30,34,38,41,42,45,49,50,64,65,66,71,75",3,21.84,2669.0,17878.26,20547.26,2,10,8.339232206344604,0.6
StochasticGreedy,Trivalency,2000,0.3,10,600,1708,292,1705,308,3,3,4,23,27,"34,53,55,64","0,1,4,5,6,8,12,15,20,26,29,39,43,45,49,60,61,63,66,73,74,75,76",5,24.03,4142.0,20679.7,24821.7,2,12,7.872522830963135,0.6
StochasticGreedy,Trivalency,2500,0.3,2,750,2372,128,1865,622,507,507,2,24,26,"11,15","4,6,7,9,12,16,17,20,22,37,39,42,43,47,49,50,52,53,58,61,64,72,73,76",3,25.02,2746.0,20887.41,23633.41,2,4,7.945452690124512,0.6
StochasticGreedy,Trivalency,2500,0.3,4,750,2089,411,1329,339,760,760,5,18,23,"2,25,38,71,76","4,9,18,26,27,30,33,39,44,46,49,50,52,53,54,58,67,75",8,18.89,6511.0,15442.85,21953.85,2,6,8.372340440750122,0.6
StochasticGreedy,Trivalency,2500,0.3,6,750,2204,296,1846,454,358,358,4,24,28,"26,45,46,49","1,2,6,9,13,20,21,22,27,34,37,43,44,50,53,58,59,62,66,69,70,72,73,76",5,24.8,4137.0,21079.29,25216.29,2,8,7.558912038803101,0.6
StochasticGreedy,Trivalency,2500,0.3,8,750,2334,166,1600,584,734,734,2,21,23,"11,66","5,10,13,15,28,29,30,32,34,35,36,39,43,46,49,60,61,62,67,69,71",3,21.5,2640.0,17674.11,20314.11,2,10,7.705918073654175,0.6
StochasticGreedy,Trivalency,2500,0.3,10,750,2258,242,2253,508,5,5,4,30,34,"26,30,50,75","2,4,5,7,8,10,12,13,24,27,28,29,35,39,40,42,43,44,46,52,54,62,63,67,68,69,70,71,73,76",4,30.75,3342.0,25752.12,29094.12,2,12,8.712994813919067,0.6
StochasticGreedy,Trivalency,500,0.5,2,250,357,143,340,107,17,17,2,5,7,"46,64","4,15,18,23,48",3,6.69,2456.0,5694.5,8150.5,3,5,8.056225776672363,0.6
StochasticGreedy,Trivalency,500,0.5,4,250,362,138,362,112,0,0,2,6,8,"54,61","6,11,36,45,70,74",2,6.83,1627.0,6152.53,7779.53,2,6,8.165388584136963,0.6
StochasticGreedy,Trivalency,500,0.5,6,250,424,76,388,174,36,36,1,6,7,11,"2,15,29,32,37,67",5,6.04,4434.0,5007.4,9441.4,2,8,7.853722810745239,0.6
StochasticGreedy,Trivalency,500,0.5,8,250,362,138,354,112,8,8,2,5,7,"25,43","15,20,33,62,65",5,5.31,4414.0,4555.02,8969.02,2,10,7.968398094177246,0.6
StochasticGreedy,Trivalency,500,0.5,10,250,409,91,376,159,33,33,1,5,6,51,"6,8,48,58,69",2,6.82,1803.0,6094.56,7897.56,2,12,8.06239938735962,0.6
StochasticGreedy,Trivalency,1000,0.5,2,500,906,94,900,406,6,6,1,13,14,57,"7,8,10,14,22,28,30,36,41,54,59,66,68",2,13.48,1849.0,11672.15,13521.15,2,4,7.911796808242798,0.6
StochasticGreedy,Trivalency,1000,0.5,4,500,609,391,537,109,72,72,5,8,13,"11,39,55,60,65","2,4,30,34,48,53,68,73",9,9.2,7849.0,7773.94,15622.939999999999,2,6,7.845117568969727,0.6
StochasticGreedy,Trivalency,1000,0.5,6,500,868,132,826,368,42,42,2,12,14,"23,45","10,26,30,33,37,42,43,48,52,62,74,75",3,13.41,2453.0,11369.33,13822.33,2,8,8.037723541259766,0.6
StochasticGreedy,Trivalency,1000,0.5,8,500,612,388,606,112,6,6,6,9,15,"15,17,26,33,45,59","6,29,32,39,50,57,67,68,74",8,9.74,7032.0,8431.46,15463.46,2,10,7.971070289611816,0.6
StochasticGreedy,Trivalency,1000,0.5,10,500,852,148,806,352,46,46,2,11,13,"11,23","0,2,6,8,16,38,40,43,56,66,67",6,11.22,5325.0,9487.34,14812.34,2,12,8.508096933364868,0.6
StochasticGreedy,Trivalency,1500,0.5,2,750,1368,132,1355,618,13,13,2,18,20,"48,68","7,8,9,14,16,18,19,20,21,30,31,34,37,45,53,56,62,65",3,18.67,2716.0,15897.27,18613.27,2,4,7.652925968170166,0.6
StochasticGreedy,Trivalency,1500,0.5,4,750,1354,146,1068,604,286,286,2,15,17,"46,55","4,6,8,13,15,19,20,26,34,40,52,60,62,66,75",4,15.84,3400.0,13512.32,16912.32,2,6,7.667124271392822,0.6
StochasticGreedy,Trivalency,1500,0.5,6,750,1334,166,1298,584,36,36,2,18,20,"16,41","4,6,24,29,34,35,37,42,43,45,47,48,53,59,63,66,67,73",2,19.68,1689.0,16794.42,18483.42,2,8,8.088675737380981,0.6
StochasticGreedy,Trivalency,1500,0.5,8,750,1380,120,1312,630,68,68,2,16,18,"59,73","1,3,10,13,14,16,17,24,34,39,40,42,46,47,53,57",3,17.38,2689.0,14161.86,16850.86,2,10,7.863719940185547,0.6
StochasticGreedy,Trivalency,1500,0.5,10,750,1349,151,1179,599,170,170,2,16,18,"38,64","3,7,8,12,15,18,19,21,25,31,32,39,41,43,45,63",2,17.3,1480.0,14954.35,16434.35,2,12,7.959555625915527,0.6
StochasticGreedy,Trivalency,2000,0.5,2,1000,1529,471,1336,529,193,193,6,18,24,"7,16,20,25,29,41","2,3,11,12,14,22,24,26,37,38,42,43,44,53,54,62,66,72",13,18.8,11823.0,15864.09,27687.09,2,4,8.312100410461426,0.6
StochasticGreedy,Trivalency,2000,0.5,4,1000,1225,775,1213,225,12,12,10,17,27,"9,18,25,30,35,42,43,47,64,65","0,7,22,23,29,32,33,37,44,45,51,54,59,60,61,68,70",11,18.02,9070.0,15286.02,24356.02,2,6,7.499902248382568,0.6
StochasticGreedy,Trivalency,2000,0.5,6,1000,1943,57,1505,943,438,438,1,20,21,68,"9,12,14,19,29,30,32,40,43,45,47,48,54,56,65,70,71,72,75,76",1,21.49,930.0,18044.92,18974.92,2,8,7.711817979812622,0.6
StochasticGreedy,Trivalency,2000,0.5,8,1000,1937,63,1768,937,169,169,1,25,26,24,"1,4,8,11,12,15,20,25,30,34,35,36,39,41,44,45,52,54,59,61,62,64,66,70,73",1,26.35,821.0,22395.98,23216.98,2,10,8.062202453613281,0.6
StochasticGreedy,Trivalency,2000,0.5,10,1000,1870,130,1696,870,174,174,2,21,23,"6,63","7,8,11,12,16,22,23,24,29,33,47,51,53,56,61,62,66,69,72,73,75",2,22.62,1759.0,19340.67,21099.67,2,12,7.768667936325073,0.6
