Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Uniform,500,0.1,2,50,450,50,440,0,10,10,1,6,7,54,"11,16,27,37,45,55",1,13.94,872.0,12416.58,13288.58,4,6,12.554348230361938,0.1
StochasticGreedy,Uniform,500,0.1,4,50,450,50,373,0,77,77,1,5,6,54,"8,11,23,25,48",1,14.85,872.0,13088.13,13960.13,4,8,8.104740619659424,0.1
StochasticGreedy,Uniform,500,0.1,6,50,450,50,422,0,28,28,1,6,7,54,"11,23,45,51,64,74",1,13.91,872.0,12226.94,13098.94,4,10,7.728532314300537,0.1
StochasticGreedy,Uniform,500,0.1,8,50,450,50,414,0,36,36,1,6,7,54,"0,11,48,50,61,73",1,14.75,872.0,12970.22,13842.22,4,12,7.81266188621521,0.1
StochasticGreedy,Uniform,500,0.1,10,50,450,50,419,0,31,31,1,5,6,54,"11,12,26,57,58",1,13.16,872.0,11654.67,12526.67,4,14,7.671795606613159,0.1
StochasticGreedy,Uniform,1000,0.1,2,100,928,72,548,28,380,380,1,7,8,23,"0,11,29,47,48,58,64",1,16.91,749.0,14823.03,15572.03,4,6,8.084361791610718,0.1
StochasticGreedy,Uniform,1000,0.1,4,100,928,72,405,28,523,523,1,6,7,23,"0,11,52,60,70,73",10,10.89,8815.0,9525.15,18340.15,3,7,8.207541465759277,0.1
StochasticGreedy,Uniform,1000,0.1,6,100,928,72,604,28,324,324,1,8,9,23,"11,25,26,48,56,65,67,75",4,16.03,3597.0,13919.62,17516.620000000003,4,10,7.419524192810059,0.1
StochasticGreedy,Uniform,1000,0.1,8,100,928,72,141,28,787,787,1,2,3,23,"7,26",19,2.67,17211.0,2384.66,19595.66,2,10,7.902588605880737,0.1
StochasticGreedy,Uniform,1000,0.1,10,100,928,72,908,28,20,20,1,12,13,23,"4,20,22,30,47,51,53,54,60,62,66,68",8,14.09,7000.0,12088.17,19088.17,3,13,7.975999116897583,0.1
StochasticGreedy,Uniform,1500,0.1,2,150,1366,134,571,16,795,795,2,9,11,"48,70","0,4,6,11,50,51,54,68,73",6,14.07,5292.0,12474.31,17766.309999999998,3,5,7.805476188659668,0.1
StochasticGreedy,Uniform,1500,0.1,4,150,1365,135,323,15,1042,1042,2,5,7,"45,48","11,17,54,68,74",7,10.16,6234.0,9014.93,15248.93,3,7,7.919010639190674,0.1
StochasticGreedy,Uniform,1500,0.1,6,150,1351,149,129,1,1222,1222,2,2,4,"23,25","6,11",21,4.4,19026.0,3978.5,23004.5,3,9,8.262634038925171,0.1
StochasticGreedy,Uniform,1500,0.1,8,150,1359,141,568,9,791,791,2,7,9,"4,23","0,11,12,16,33,58,60",8,13.57,7190.0,11798.89,18988.89,3,11,7.447106122970581,0.1
StochasticGreedy,Uniform,1500,0.1,10,150,1371,129,522,21,849,849,2,7,9,"23,68","11,15,17,20,48,58,60",4,14.62,3639.0,12734.42,16373.42,3,13,8.215355396270752,0.1
StochasticGreedy,Uniform,2000,0.1,2,200,1871,129,669,71,1202,1202,2,10,12,"23,68","15,16,19,25,33,48,64,67,70,74",10,14.59,8993.0,12480.02,21473.02,3,5,7.695773124694824,0.1
StochasticGreedy,Uniform,2000,0.1,4,200,1861,139,729,61,1132,1132,2,11,13,"23,32","6,7,14,17,25,27,30,36,45,62,73",4,16.15,3368.0,14211.72,17579.72,3,7,8.007195711135864,0.1
StochasticGreedy,Uniform,2000,0.1,6,200,1871,129,319,71,1552,1552,2,4,6,"23,68","4,11,17,49",14,8.06,12392.0,6860.58,19252.58,3,9,8.190157413482666,0.1
StochasticGreedy,Uniform,2000,0.1,8,200,1811,189,1211,11,600,600,3,16,19,"11,36,45","0,5,6,9,13,20,24,30,38,40,41,51,63,68,69,72",11,19.22,9716.0,16489.79,26205.79,3,11,7.391576051712036,0.1
