Model,Graph_Version,Total_Budget,Split_Ratio,Timestep,Phase1_Budget,Phase2_Budget,Phase1_Cost,Phase2_Cost,Phase1_Remaining_Budget,Phase2_Remaining_Budget,Total_Remaining_Budget,Phase1_SeedSize,Phase2_SeedSize,Total_SeedSize,Phase1_Seeds,Phase2_Seeds,Phase1_Activated_Count,Phase2_Activated_Count,Phase1_Profit,Phase2_Profit,Total_Profit,Phase2_Duration,Total_Timestep,Execution_Time,Epsilon
StochasticGreedy,Weighted,500,0.1,2,50,450,50,433,0,17,17,1,6,7,54,"0,11,12,18,23,36",1,27.71,872.0,24872.51,25744.51,4,6,7.9315900802612305,0.3
StochasticGreedy,Weighted,500,0.1,4,50,450,50,400,0,50,50,1,6,7,54,"0,11,25,26,28,64",1,31.14,872.0,27883.74,28755.74,4,8,8.442447900772095,0.3
StochasticGreedy,Weighted,500,0.1,6,50,450,50,367,0,83,83,1,5,6,54,"0,11,44,58,74",1,24.98,872.0,22529.2,23401.2,4,10,8.299221754074097,0.3
StochasticGreedy,Weighted,500,0.1,8,50,450,50,442,0,8,8,1,6,7,54,"0,11,23,28,48,57",1,31.82,872.0,28603.41,29475.41,4,12,7.923773765563965,0.3
StochasticGreedy,Weighted,500,0.1,10,50,450,50,344,0,106,106,1,5,6,54,"0,11,24,36,61",1,26.95,872.0,24242.31,25114.31,4,14,7.324252367019653,0.3
StochasticGreedy,Weighted,1000,0.1,2,100,923,77,922,23,1,1,1,13,14,25,"0,14,24,27,29,31,36,41,44,49,50,67,71",6,26.58,5217.0,23073.08,28290.08,3,5,8.389619827270508,0.3
StochasticGreedy,Weighted,1000,0.1,4,100,924,76,384,24,540,540,1,5,6,11,"0,12,21,59,64",25,13.71,22697.0,12369.8,35066.8,3,7,8.406221628189087,0.3
StochasticGreedy,Weighted,1000,0.1,6,100,923,77,302,23,621,621,1,4,5,25,"0,11,21,59",9,22.79,7801.0,20719.78,28520.78,3,9,8.179134607315063,0.3
StochasticGreedy,Weighted,1000,0.1,8,100,935,65,562,35,373,373,1,8,9,55,"0,2,11,23,24,29,41,74",2,31.3,1707.0,27987.44,29694.44,4,12,8.116690635681152,0.3
StochasticGreedy,Weighted,1000,0.1,10,100,923,77,280,23,643,643,1,4,5,25,"0,7,11,70",11,21.41,9839.0,19371.99,29210.99,4,14,8.583163261413574,0.3
StochasticGreedy,Weighted,1500,0.1,2,150,1358,142,707,8,651,651,2,10,12,"25,55","0,2,28,29,32,37,47,48,68,72",6,23.88,5092.0,21265.15,26357.15,3,5,8.30547571182251,0.3
StochasticGreedy,Weighted,1500,0.1,4,150,1350,150,653,0,697,697,2,9,11,"11,62","5,6,7,16,23,39,48,54,55",17,16.61,15409.0,14641.26,30050.260000000002,3,7,8.331449508666992,0.3
StochasticGreedy,Weighted,1500,0.1,6,150,1356,144,806,6,550,550,2,12,14,"25,59","0,2,5,10,24,28,36,37,54,66,68,73",8,23.29,6957.0,20659.28,27616.28,3,9,8.431992530822754,0.3
StochasticGreedy,Weighted,1500,0.1,8,150,1360,140,352,10,1008,1008,2,5,7,"0,11","19,24,48,55,69",29,12.3,26586.0,10855.22,37441.22,3,11,7.515926122665405,0.3
StochasticGreedy,Weighted,1500,0.1,10,150,1365,135,448,15,917,917,2,6,8,"11,70","0,23,37,60,63,66",20,15.85,18152.0,14032.16,32184.16,3,13,8.56957721710205,0.3
StochasticGreedy,Weighted,2000,0.1,2,200,1829,171,709,29,1120,1120,2,10,12,"5,11","0,3,20,28,39,43,45,50,61,76",23,17.27,20866.0,15318.28,36184.28,2,4,7.959446907043457,0.3
StochasticGreedy,Weighted,2000,0.1,4,200,1863,137,450,63,1413,1413,2,7,9,"40,55","0,2,11,37,43,54,75",2,25.53,1564.0,22988.67,24552.67,4,8,8.309184789657593,0.3
StochasticGreedy,Weighted,2000,0.1,6,200,1852,148,791,52,1061,1061,2,10,12,"11,23","0,5,7,17,36,40,47,48,57,60",26,20.25,23074.0,17626.87,40700.869999999995,3,9,7.613423109054565,0.3
StochasticGreedy,Weighted,2000,0.1,8,200,1801,199,658,1,1143,1143,3,9,12,"23,55,64","0,11,17,37,46,51,61,68,70",11,29.86,9775.0,26591.21,36366.21,3,11,8.218932390213013,0.3
StochasticGreedy,Weighted,2000,0.1,10,200,1837,163,511,37,1326,1326,2,7,9,"13,55","0,11,19,37,40,42,53",5,25.53,4260.0,22763.67,27023.67,4,14,8.546334981918335,0.3
StochasticGreedy,Weighted,2500,0.1,2,250,2334,166,451,84,1883,1883,2,7,9,"11,66","0,24,30,31,36,48,69",15,20.79,13618.0,18585.79,32203.79,3,5,7.664615869522095,0.3
StochasticGreedy,Weighted,2500,0.1,4,250,2365,135,554,115,1811,1811,2,8,10,"11,70","0,6,8,20,22,34,51,54",23,16.02,20694.0,14291.61,34985.61,3,7,8.772844791412354,0.3
StochasticGreedy,Weighted,2500,0.1,6,250,2380,120,1034,130,1346,1346,2,14,16,"24,68","0,11,17,21,29,31,42,43,45,46,47,52,64,75",7,32.94,6140.0,28893.71,35033.71,3,9,8.344719409942627,0.3
StochasticGreedy,Weighted,2500,0.1,8,250,2423,77,526,173,1897,1897,1,7,8,25,"0,4,7,11,12,44,59",6,22.98,5270.0,20573.62,25843.62,4,12,8.13245153427124,0.3
StochasticGreedy,Weighted,2500,0.1,10,250,2266,234,571,16,1695,1695,3,7,10,"0,48,49","10,11,12,16,37,39,60",21,18.49,18665.0,16179.4,34844.4,3,13,8.155053853988647,0.3
StochasticGreedy,Weighted,500,0.3,2,150,404,96,371,54,33,33,1,5,6,12,"0,11,21,25,70",1,26.5,869.0,23831.28,24700.28,4,6,8.475994110107422,0.3
StochasticGreedy,Weighted,500,0.3,4,150,358,142,338,8,20,20,2,5,7,"25,55","0,11,48,64,74",8,26.51,6988.0,23895.12,30883.12,4,8,8.109042882919312,0.3
StochasticGreedy,Weighted,500,0.3,6,150,404,96,390,54,14,14,1,5,6,12,"0,11,27,47,55",1,28.46,869.0,25590.67,26459.67,4,10,8.512184143066406,0.3
StochasticGreedy,Weighted,500,0.3,8,150,363,137,363,13,0,0,2,6,8,"11,43","0,6,19,36,44,73",19,14.15,17132.0,12783.09,29915.09,3,11,8.194540977478027,0.3
StochasticGreedy,Weighted,500,0.3,10,150,351,149,260,1,91,91,2,4,6,"23,25","0,11,14,37",17,20.32,15391.0,18392.56,33783.56,3,13,8.519267559051514,0.3
StochasticGreedy,Weighted,1000,0.3,2,300,753,247,434,53,319,319,3,7,10,"11,27,29","0,19,36,54,59,62,67",23,16.74,20724.0,15094.96,35818.96,3,5,8.259330749511719,0.3
StochasticGreedy,Weighted,1000,0.3,4,300,744,256,407,44,337,337,3,6,9,"27,58,62","0,11,20,24,54,71",15,23.44,13573.0,21005.71,34578.71,3,7,8.184252500534058,0.3
StochasticGreedy,Weighted,1000,0.3,6,300,738,262,452,38,286,286,4,6,10,"15,26,65,68","2,8,11,19,38,60",21,14.28,19099.0,12277.47,31376.47,3,9,8.508435487747192,0.3
StochasticGreedy,Weighted,1000,0.3,8,300,703,297,503,3,200,200,4,7,11,"25,62,68,71","0,7,21,28,32,50,63",21,15.36,18663.0,13611.61,32274.61,3,11,8.220650434494019,0.3
StochasticGreedy,Weighted,1000,0.3,10,300,829,171,352,129,477,477,2,5,7,"5,11","0,18,24,26,58",23,15.12,20845.0,13597.89,34442.89,3,13,8.556779623031616,0.3
StochasticGreedy,Weighted,1500,0.3,2,450,1138,362,485,88,653,653,5,6,11,"11,18,34,43,60","0,28,29,51,57,65",21,18.94,18783.0,16999.77,35782.770000000004,3,5,7.863671064376831,0.3
StochasticGreedy,Weighted,1500,0.3,4,450,1371,129,487,321,884,884,2,6,8,"0,55","11,23,28,53,57,66",14,20.78,12960.0,18324.65,31284.65,4,8,8.289868831634521,0.3
StochasticGreedy,Weighted,1500,0.3,6,450,1149,351,427,99,722,722,5,6,11,"11,29,30,31,41","0,28,35,51,64,70",21,17.91,18519.0,16081.9,34600.9,3,9,7.888054609298706,0.3
StochasticGreedy,Weighted,1500,0.3,8,450,1360,140,328,310,1032,1032,2,4,6,"0,11","27,48,58,75",33,9.11,29925.0,8174.96,38099.96,3,11,8.971272230148315,0.3
